order_number,customer_name,fulfillment,total,eta_minutes,status,created_at,updated_at
FR-1001,Mohsin,pickup,100,15,completed,2026-07-13T18:19:47+00:00,2026-07-13T18:20:31+00:00
FR-1002,Sam,pickup,22,15,confirmed,2026-07-14T01:50:45+00:00,
FR-1003,Simon,pickup,18,15,confirmed,2026-07-14T01:55:12+00:00,
FR-1004,Naseem,delivery,34,35,confirmed,2026-07-14T01:59:08+00:00,
FR-1005,Shah Rukh Khan,delivery,18,35,confirmed,2026-07-16T19:26:47+00:00,
FR-1006,Movmentics,pickup,117,15,preparing,2026-07-17T05:45:04+00:00,2026-07-17T13:05:42+00:00
FR-1007,Asad Tongri,delivery,53,35,completed,2026-07-17T09:57:06+00:00,2026-07-17T09:58:55+00:00
FR-1008,Sajid,pickup,17,15,confirmed,2026-07-20T18:37:06+00:00,
FR-1009,Salman Khan,pickup,15,15,confirmed,2026-07-20T18:45:24+00:00,
FR-1010,Dileep,pickup,39,15,confirmed,2026-07-20T18:50:15+00:00,
FR-1011,Sam,delivery,25,35,confirmed,2026-07-20T18:53:38+00:00,
FR-1012,Samuel,pickup,17,15,confirmed,2026-07-20T18:56:54+00:00,
FR-1013,Mario,delivery,8,35,confirmed,2026-07-20T19:03:21+00:00,
FR-1014,John Doe,delivery,13,35,completed,2026-07-20T19:14:37+00:00,2026-08-20T08:35:41+00:00
FR-1015,John Doe,pickup,5,15,completed,2026-07-20T19:20:42+00:00,2026-08-20T08:35:42+00:00
FR-1016,Zubaida Roshan,delivery,22,35,completed,2026-07-20T19:24:01+00:00,2026-08-20T08:35:38+00:00
FR-1017,Dhruv Raut,delivery,50,35,cancelled,2026-07-20T19:27:23+00:00,2026-08-20T08:35:25+00:00
FR-1018,Garlic Bread,delivery,67,35,completed,2026-07-20T19:32:27+00:00,2026-08-10T08:06:42+00:00
FR-1019,George,pickup,6,15,confirmed,2026-08-21T10:57:28+00:00,
